,Intercambiador,Coche,Viaje,Hora Llegada Teórica,Desvio medio (minutos)
71,Sardinero,3,2,2000-01-01 07:24:00,-3.1083333333333334
0,Sardinero,1,2,2000-01-01 07:39:00,-2.9833333333333334
1,Sardinero,1,2,2000-01-01 07:40:00,-1.5
35,Sardinero,2,3,2000-01-01 07:54:00,-2.095833333333333
34,Sardinero,2,2,2000-01-01 07:55:00,-4.45
73,Sardinero,3,4,2000-01-01 08:09:00,-2.2666666666666666
72,Sardinero,3,3,2000-01-01 08:10:00,-6.1
2,Sardinero,1,4,2000-01-01 08:25:00,-5.233333333333333
3,Sardinero,1,4,2000-01-01 08:27:00,-4.770833333333333
36,Sardinero,2,4,2000-01-01 08:40:00,-4.483333333333333
37,Sardinero,2,5,2000-01-01 08:42:00,-4.820833333333333
74,Sardinero,3,5,2000-01-01 08:55:00,-3.6333333333333333
75,Sardinero,3,6,2000-01-01 08:57:00,-5.004166666666666
4,Sardinero,1,6,2000-01-01 09:10:00,-5.083333333333333
5,Sardinero,1,6,2000-01-01 09:12:00,-4.179166666666666
38,Sardinero,2,6,2000-01-01 09:25:00,0.0
39,Sardinero,2,7,2000-01-01 09:26:00,-2.3375
76,Sardinero,3,7,2000-01-01 09:40:00,-7.416666666666667
77,Sardinero,3,8,2000-01-01 09:41:00,-1.5083333333333335
6,Sardinero,1,8,2000-01-01 09:55:00,-1.8333333333333335
7,Sardinero,1,8,2000-01-01 10:10:00,-4.416666666666667
41,Sardinero,2,9,2000-01-01 10:10:00,-1.2416666666666667
40,Sardinero,2,8,2000-01-01 10:25:00,-2.6166666666666667
79,Sardinero,3,10,2000-01-01 10:25:00,-1.122222222222222
78,Sardinero,3,9,2000-01-01 10:40:00,-0.9166666666666666
108,Sardinero,101,2,2000-01-01 10:40:00,-2.2666666666666666
8,Sardinero,1,10,2000-01-01 10:55:00,-0.03333333333333334
42,Sardinero,2,10,2000-01-01 11:10:00,2.05
43,Sardinero,2,11,2000-01-01 11:11:00,-1.85
80,Sardinero,3,11,2000-01-01 11:25:00,-0.15
81,Sardinero,3,12,2000-01-01 11:25:00,-1.4375
9,Sardinero,1,12,2000-01-01 11:40:00,2.066666666666667
44,Sardinero,2,12,2000-01-01 11:55:00,0.95
10,Sardinero,1,12,2000-01-01 11:57:00,-0.9375
