,coche,sentido,viaje,media tiempo viaje (minutos),media velocidad comercial (km/h),desviación tiempo viaje,desviación velocidad comercial
17,1,Valdecilla_Sardinero,2,23.91111111111111,12.79054166668692,6.09490527985221,2.923993334844596
0,1,Sardinero_Valdecilla,3,13.816666666666668,21.349368935614855,0.8924840490326853,1.3718956106324502
18,1,Valdecilla_Sardinero,4,12.886666666666665,22.917447063330865,0.9593400509377961,1.7340544635958768
1,1,Sardinero_Valdecilla,5,14.213333333333335,21.08534300890988,2.295539152356152,3.122882887516315
2,1,Sardinero_Valdecilla,7,13.276666666666667,22.17400276220961,0.5573498801371449,0.8902215246537419
19,1,Valdecilla_Sardinero,8,13.950000000000001,21.1116609496499,0.7166666666666668,1.0628049748551125
3,1,Sardinero_Valdecilla,9,15.561111111111112,19.570123989736278,3.7730894110402025,4.191322777408075
20,1,Valdecilla_Sardinero,10,15.408333333333335,19.173878639231418,1.2178076841421037,1.5765910506917193
4,1,Sardinero_Valdecilla,11,15.206666666666667,19.569580628205753,1.7986337407413815,2.504547468291088
21,1,Valdecilla_Sardinero,12,16.446666666666665,17.919758934708433,0.920250569742345,0.9793960008532745
5,1,Sardinero_Valdecilla,13,18.263333333333332,16.731271358908753,4.010583221649661,3.64541228195775
22,1,Valdecilla_Sardinero,14,16.48333333333333,17.95577330389512,1.577973383805949,1.5640902238511183
6,1,Sardinero_Valdecilla,15,16.66,18.39391112497764,4.280667133883585,3.660993376541997
23,1,Valdecilla_Sardinero,16,16.003333333333334,18.470460064662404,1.3134665753053811,1.5179543115372405
7,1,Sardinero_Valdecilla,17,16.59,17.876553590743708,1.7063036723345066,1.8859777923152052
24,1,Valdecilla_Sardinero,18,15.636666666666667,19.08943640026891,2.1350709069672082,2.6434935187762134
8,1,Sardinero_Valdecilla,19,15.356666666666666,19.55226070797294,2.5502341940387443,3.0967564632582056
25,1,Valdecilla_Sardinero,20,14.709999999999999,20.101081575025454,1.2714056088527466,1.662106950606044
9,1,Sardinero_Valdecilla,21,13.423333333333332,22.176112884504825,1.671143986083252,2.7672721354932297
26,1,Valdecilla_Sardinero,22,13.75,21.479100666998068,1.0349449797506685,1.617837312161141
10,1,Sardinero_Valdecilla,23,12.820000000000002,23.11103546929599,1.27303225061705,2.24534799870773
27,1,Valdecilla_Sardinero,24,14.36,20.745607123018242,1.8132460150545235,2.7001899800569786
11,1,Sardinero_Valdecilla,25,14.566666666666666,20.258283363149197,0.9807168579949853,1.396979506395478
28,1,Valdecilla_Sardinero,26,20.179166666666667,16.967112439816372,10.604963678845374,6.187087078410077
12,1,Sardinero_Valdecilla,27,14.263333333333335,20.79370688578592,1.4743831101703375,2.207237372592235
29,1,Valdecilla_Sardinero,28,16.666666666666668,17.64,,
13,1,Sardinero_Valdecilla,29,15.276666666666667,19.499153855778708,1.9895770069707455,2.456774166908833
30,1,Valdecilla_Sardinero,30,15.986666666666668,18.42896120259702,0.8271772616689983,0.9344408413687353
14,1,Sardinero_Valdecilla,31,14.959999999999999,19.739549167651386,1.1095920171145985,1.4696403045791697
31,1,Valdecilla_Sardinero,32,16.81,17.601751305277116,1.459052203772481,1.618668089395853
15,1,Sardinero_Valdecilla,33,15.993333333333334,18.409040731107858,0.6771673024855501,0.77904509541011
32,1,Valdecilla_Sardinero,34,16.433333333333334,18.158634180190365,2.186363461363455,2.6941516870067437
33,1,Valdecilla_Sardinero,36,16.143333333333334,18.297760655972333,1.20465532184291,1.4416726204409256
16,1,Sardinero_Valdecilla,37,15.676666666666668,19.000632766355515,1.9583723400370578,2.489333492821326
34,1,Valdecilla_Sardinero,38,15.623333333333335,18.999128249140288,1.7221836913252504,2.0614088299673146
35,2,Sardinero_Valdecilla,2,13.220833333333335,22.436018734393407,1.3811813917936462,2.536669929923332
70,2,Valdecilla_Sardinero,2,12.75,23.058823529411764,,
36,2,Sardinero_Valdecilla,3,10.0,29.4,,
71,2,Valdecilla_Sardinero,3,13.1,22.4760189849857,0.6251666444503682,1.0458101693659774
37,2,Sardinero_Valdecilla,4,12.954166666666666,22.78437532616637,0.9113863066779094,1.6875458160890948
72,2,Valdecilla_Sardinero,4,11.583333333333334,25.381294964028775,,
38,2,Sardinero_Valdecilla,5,10.616666666666667,27.692307692307693,,
73,2,Valdecilla_Sardinero,5,13.077777777777778,22.88543463984304,2.047853438042796,3.880151740296201
39,2,Sardinero_Valdecilla,6,13.008333333333333,22.619694614851298,0.5303300858899106,0.9221707562765643
74,2,Valdecilla_Sardinero,6,12.5,23.52,,
40,2,Sardinero_Valdecilla,7,11.25,26.133333333333333,,
75,2,Valdecilla_Sardinero,7,13.458333333333332,21.915703177566982,0.8882462955067593,1.4254143226986207
41,2,Sardinero_Valdecilla,8,13.695833333333333,21.483797604531052,0.4474981895266504,0.7108914790713522
76,2,Valdecilla_Sardinero,8,12.833333333333334,22.90909090909091,,
42,2,Sardinero_Valdecilla,9,13.05,22.528735632183906,,
77,2,Valdecilla_Sardinero,9,28.26111111111111,12.157618089200241,11.63030444491809,6.426141070387879
43,2,Sardinero_Valdecilla,10,15.045833333333334,19.600636387681988,0.9744300328340096,1.2429705383204381
78,2,Valdecilla_Sardinero,10,14.533333333333333,20.229357798165136,,
44,2,Sardinero_Valdecilla,11,14.183333333333334,20.72855464159812,,
79,2,Valdecilla_Sardinero,11,15.666666666666666,18.847953296141203,1.461354014452198,1.7580978008632002
45,2,Sardinero_Valdecilla,12,17.454166666666666,17.10643208177001,2.390040097292651,2.562658172930294
46,2,Sardinero_Valdecilla,13,13.383333333333333,21.967621419676213,,
47,2,Sardinero_Valdecilla,14,18.233333333333334,16.681472593966994,4.000601806580456,3.4363626205561846
80,2,Valdecilla_Sardinero,14,14.916666666666666,19.70949720670391,,
48,2,Sardinero_Valdecilla,15,12.383333333333333,23.74158815612382,,
81,2,Valdecilla_Sardinero,15,15.37222222222222,19.13368095767103,0.39381796885438425,0.4844904154661773
49,2,Sardinero_Valdecilla,16,16.625,17.97070715051318,2.2736208680982526,2.797185239500756
82,2,Valdecilla_Sardinero,16,13.35,22.02247191011236,,
50,2,Sardinero_Valdecilla,17,14.316666666666666,20.535506402793946,,
