,linea,linea_real,salida,llegada_central,espera,outlayers,espera_mas_50,espera minutos,hora salida
0,13,14,2018-07-24 07:35:59,2018-07-24 07:29:17,0 days 00:06:42.000000000,0,1,6.7,7.35
1,13,13,2018-07-24 07:53:46,2018-07-24 07:44:30,0 days 00:09:16.000000000,0,1,9.266666666666667,7.53
2,13,14,2018-07-24 08:04:32,2018-07-24 07:59:09,0 days 00:05:23.000000000,0,0,5.383333333333334,8.04
3,13,13,2018-07-24 08:22:55,2018-07-24 08:14:06,0 days 00:08:49.000000000,0,1,8.816666666666666,8.22
4,13,14,2018-07-24 08:35:01,2018-07-24 08:29:39,0 days 00:05:22.000000000,0,0,5.366666666666666,8.35
5,13,13,2018-07-24 08:53:29,2018-07-24 08:44:32,0 days 00:08:57.000000000,0,1,8.95,8.53
6,13,14,2018-07-24 09:05:20,2018-07-24 09:00:51,0 days 00:04:29.000000000,0,0,4.483333333333333,9.05
7,13,13,2018-07-24 09:21:38,2018-07-24 09:15:39,0 days 00:05:59.000000000,0,0,5.983333333333333,9.21
8,13,14,2018-07-24 09:36:00,2018-07-24 09:30:19,0 days 00:05:41.000000000,0,0,5.683333333333334,9.36
9,13,13,2018-07-24 09:52:40,2018-07-24 09:45:37,0 days 00:07:03.000000000,0,1,7.05,9.52
12,17,17,2018-07-24 10:07:00,2018-07-24 10:00:52,0 days 00:06:08.000000000,0,1,6.133333333333334,10.07
13,13,13,2018-07-24 10:42:27,2018-07-24 10:33:00,0 days 00:09:27.000000000,0,1,9.45,10.42
14,17,17,2018-07-24 10:37:44,2018-07-24 10:33:00,0 days 00:04:44.000000000,0,0,4.733333333333333,10.37
16,13,13,2018-07-24 11:07:26,2018-07-24 11:02:45,0 days 00:04:41.000000000,0,0,4.683333333333334,11.07
19,17,17,2018-07-24 11:37:00,2018-07-24 11:36:00,0 days 00:01:00.000000000,0,0,1.0,11.37
20,13,13,2018-07-24 11:51:25,2018-07-24 11:49:50,0 days 00:01:35.000000000,0,0,1.5833333333333333,11.51
22,13,14,2018-07-24 12:12:10,2018-07-24 12:05:39,0 days 00:06:31.000000000,0,1,6.516666666666667,12.12
23,17,17,2018-07-24 12:07:32,2018-07-24 12:05:39,0 days 00:01:53.000000000,0,0,1.8833333333333333,12.07
28,13,13,2018-07-24 12:52:59,2018-07-24 12:50:41,0 days 00:02:18.000000000,0,0,2.3,12.52
29,17,17,2018-07-24 12:52:28,2018-07-24 12:50:41,0 days 00:01:47.000000000,0,0,1.7833333333333334,12.52
31,13,13,2018-07-24 13:22:41,2018-07-24 13:19:50,0 days 00:02:51.000000000,0,0,2.85,13.22
33,13,13,2018-07-24 13:53:22,2018-07-24 13:47:49,0 days 00:05:33.000000000,0,0,5.55,13.53
34,13,14,2018-07-24 14:09:57,2018-07-24 14:02:18,0 days 00:07:39.000000000,0,1,7.65,14.09
35,13,13,2018-07-24 14:23:28,2018-07-24 14:18:59,0 days 00:04:29.000000000,0,0,4.483333333333333,14.23
37,13,14,2018-07-24 14:51:04,2018-07-24 14:49:23,0 days 00:01:41.000000000,0,0,1.6833333333333333,14.51
38,13,14,2018-07-24 15:04:00,2018-07-24 15:00:41,0 days 00:03:19.000000000,0,0,3.316666666666667,15.04
