,linea,linea_real,salida,llegada_central,espera,outlayers,espera_mas_50,espera minutos,hora salida
5,3,3,2018-07-07 10:32:02,2018-07-07 10:38:33,0 days 00:06:31.000000000,0,1,6.516666666666667,10.32
6,3,3,2018-07-07 10:59:11,2018-07-07 11:08:59,0 days 00:09:48.000000000,0,1,9.8,10.59
10,3,3,2018-07-07 12:45:31,2018-07-07 12:54:45,0 days 00:09:14.000000000,0,1,9.233333333333333,12.45
11,3,3,2018-07-07 13:14:49,2018-07-07 13:24:05,0 days 00:09:16.000000000,0,1,9.266666666666667,13.14
12,3,3,2018-07-07 13:49:15,2018-07-07 13:53:31,0 days 00:04:16.000000000,0,0,4.266666666666667,13.49
13,3,3,2018-07-07 13:50:00,2018-07-07 13:53:31,0 days 00:03:31.000000000,0,0,3.5166666666666666,13.5
14,3,3,2018-07-07 14:17:47,2018-07-07 14:23:29,0 days 00:05:42.000000000,0,0,5.7,14.17
15,3,3,2018-07-07 14:47:01,2018-07-07 14:54:01,0 days 00:07:00.000000000,0,1,7.0,14.47
16,3,3,2018-07-07 15:17:17,2018-07-07 15:23:41,0 days 00:06:24.000000000,0,1,6.4,15.17
17,3,3,2018-07-07 15:21:00,2018-07-07 15:23:41,0 days 00:02:41.000000000,0,0,2.683333333333333,15.21
18,3,3,2018-07-07 15:52:46,2018-07-07 15:53:17,0 days 00:00:31.000000000,0,0,0.5166666666666667,15.52
19,3,3,2018-07-07 16:21:54,2018-07-07 16:23:26,0 days 00:01:32.000000000,0,0,1.5333333333333334,16.21
21,3,3,2018-07-07 17:05:21,2018-07-07 17:08:41,0 days 00:03:20.000000000,0,0,3.3333333333333335,17.05
22,3,3,2018-07-07 17:37:55,2018-07-07 17:39:26,0 days 00:01:31.000000000,0,0,1.5166666666666666,17.37
23,3,3,2018-07-07 18:07:55,2018-07-07 18:08:35,0 days 00:00:40.000000000,0,0,0.6666666666666666,18.07
24,3,3,2018-07-07 18:30:51,2018-07-07 18:39:04,0 days 00:08:13.000000000,0,1,8.216666666666667,18.3
28,3,3,2018-07-07 20:29:00,2018-07-07 20:38:37,0 days 00:09:37.000000000,0,1,9.616666666666667,20.29
29,3,3,2018-07-07 20:34:00,2018-07-07 20:38:37,0 days 00:04:37.000000000,0,0,4.616666666666666,20.34
31,3,3,2018-07-07 21:04:00,2018-07-07 21:08:49,0 days 00:04:49.000000000,0,0,4.816666666666666,21.04
32,3,3,2018-07-07 21:29:21,2018-07-07 21:38:33,0 days 00:09:12.000000000,0,1,9.2,21.29
33,3,3,2018-07-07 21:52:23,2018-07-07 21:53:31,0 days 00:01:08.000000000,0,0,1.1333333333333333,21.52
34,13,14,2018-07-07 15:01:44,2018-07-07 15:08:32,0 days 00:06:48.000000000,0,1,6.8,15.01
