,linea,linea_real,salida,llegada_central,espera,outlayers,espera_mas_50,espera minutos,hora salida
0,20,9,2018-08-01 07:28:37,2018-08-01 07:24:17,0 days 00:04:20.000000000,0,0,4.333333333333333,7.28
1,20,20,2018-08-01 07:44:27,2018-08-01 07:37:51,0 days 00:06:36.000000000,0,1,6.6,7.44
3,20,20,2018-08-01 08:14:00,2018-08-01 08:08:21,0 days 00:05:39.000000000,0,0,5.65,8.14
5,20,20,2018-08-01 08:44:29,2018-08-01 08:36:53,0 days 00:07:36.000000000,0,1,7.6,8.44
7,20,20,2018-08-01 09:14:00,2018-08-01 09:11:39,0 days 00:02:21.000000000,0,0,2.35,9.14
10,20,20,2018-08-01 09:44:30,2018-08-01 09:39:35,0 days 00:04:55.000000000,0,0,4.916666666666667,9.44
11,8,8,2018-08-01 09:46:43,2018-08-01 09:39:35,0 days 00:07:08.000000000,0,1,7.133333333333334,9.46
12,20,9,2018-08-01 10:01:38,2018-08-01 09:53:57,0 days 00:07:41.000000000,0,1,7.683333333333334,10.01
13,8,8,2018-08-01 10:00:57,2018-08-01 09:53:57,0 days 00:07:00.000000000,0,1,7.0,10.0
14,20,9,2018-08-01 10:32:51,2018-08-01 10:26:32,0 days 00:06:19.000000000,0,1,6.316666666666666,10.32
15,8,8,2018-08-01 10:31:48,2018-08-01 10:26:32,0 days 00:05:16.000000000,0,0,5.266666666666667,10.31
16,20,9,2018-08-01 10:32:51,2018-08-01 10:29:50,0 days 00:03:01.000000000,0,0,3.0166666666666666,10.32
17,8,8,2018-08-01 10:31:48,2018-08-01 10:29:50,0 days 00:01:58.000000000,0,0,1.9666666666666666,10.31
18,20,20,2018-08-01 10:44:11,2018-08-01 10:37:43,0 days 00:06:28.000000000,0,1,6.466666666666667,10.44
21,8,8,2018-08-01 11:16:15,2018-08-01 11:13:54,0 days 00:02:21.000000000,0,0,2.35,11.16
22,20,9,2018-08-01 11:31:40,2018-08-01 11:24:27,0 days 00:07:13.000000000,0,1,7.216666666666667,11.31
23,8,8,2018-08-01 11:29:56,2018-08-01 11:24:27,0 days 00:05:29.000000000,0,0,5.483333333333333,11.29
24,20,9,2018-08-01 12:03:50,2018-08-01 12:03:14,0 days 00:00:36.000000000,0,0,0.6,12.03
26,20,20,2018-08-01 12:15:23,2018-08-01 12:08:39,0 days 00:06:44.000000000,0,1,6.733333333333333,12.15
27,8,8,2018-08-01 12:18:22,2018-08-01 12:08:39,0 days 00:09:43.000000000,0,1,9.716666666666667,12.18
28,20,9,2018-08-01 12:34:35,2018-08-01 12:29:59,0 days 00:04:36.000000000,0,0,4.6,12.34
29,8,8,2018-08-01 12:30:52,2018-08-01 12:29:59,0 days 00:00:53.000000000,0,0,0.8833333333333333,12.3
30,20,20,2018-08-01 12:46:07,2018-08-01 12:43:46,0 days 00:02:21.000000000,0,0,2.35,12.46
31,8,8,2018-08-01 12:46:47,2018-08-01 12:43:46,0 days 00:03:01.000000000,0,0,3.0166666666666666,12.46
33,20,20,2018-08-01 13:14:55,2018-08-01 13:11:18,0 days 00:03:37.000000000,0,0,3.6166666666666667,13.14
35,20,20,2018-08-01 13:44:54,2018-08-01 13:37:58,0 days 00:06:56.000000000,0,1,6.933333333333334,13.44
37,20,20,2018-08-01 14:14:56,2018-08-01 14:10:43,0 days 00:04:13.000000000,0,0,4.216666666666667,14.14
39,20,20,2018-08-01 14:46:10,2018-08-01 14:40:41,0 days 00:05:29.000000000,0,0,5.483333333333333,14.46
41,20,20,2018-08-01 15:14:02,2018-08-01 15:06:34,0 days 00:07:28.000000000,0,1,7.466666666666667,15.14
43,20,20,2018-08-01 15:44:26,2018-08-01 15:37:48,0 days 00:06:38.000000000,0,1,6.633333333333334,15.44
44,20,9,2018-08-01 16:00:52,2018-08-01 15:51:11,0 days 00:09:41.000000000,0,1,9.683333333333334,16.0
46,20,20,2018-08-01 16:15:40,2018-08-01 16:09:06,0 days 00:06:34.000000000,0,1,6.566666666666666,16.15
47,8,8,2018-08-01 16:16:13,2018-08-01 16:09:06,0 days 00:07:07.000000000,0,1,7.116666666666666,16.16
49,8,8,2018-08-01 16:30:24,2018-08-01 16:21:36,0 days 00:08:48.000000000,0,1,8.8,16.3
50,20,20,2018-08-01 16:44:00,2018-08-01 16:38:17,0 days 00:05:43.000000000,0,0,5.716666666666667,16.44
51,8,8,2018-08-01 16:46:14,2018-08-01 16:38:17,0 days 00:07:57.000000000,0,1,7.95,16.46
52,20,9,2018-08-01 17:00:25,2018-08-01 16:54:06,0 days 00:06:19.000000000,0,1,6.316666666666666,17.0
53,8,8,2018-08-01 16:59:57,2018-08-01 16:54:06,0 days 00:05:51.000000000,0,0,5.85,16.59
54,20,20,2018-08-01 17:16:26,2018-08-01 17:10:00,0 days 00:06:26.000000000,0,1,6.433333333333334,17.16
55,8,8,2018-08-01 17:16:08,2018-08-01 17:10:00,0 days 00:06:08.000000000,0,1,6.133333333333334,17.16
56,20,9,2018-08-01 17:31:35,2018-08-01 17:25:58,0 days 00:05:37.000000000,0,0,5.616666666666666,17.31
57,8,8,2018-08-01 17:30:18,2018-08-01 17:25:58,0 days 00:04:20.000000000,0,0,4.333333333333333,17.3
60,20,9,2018-08-01 18:01:27,2018-08-01 17:56:00,0 days 00:05:27.000000000,0,0,5.45,18.01
61,8,8,2018-08-01 18:02:22,2018-08-01 17:56:00,0 days 00:06:22.000000000,0,1,6.366666666666666,18.02
62,20,20,2018-08-01 18:14:00,2018-08-01 18:12:00,0 days 00:02:00.000000000,0,0,2.0,18.14
64,20,9,2018-08-01 18:34:43,2018-08-01 18:27:35,0 days 00:07:08.000000000,0,1,7.133333333333334,18.34
65,8,8,2018-08-01 18:31:06,2018-08-01 18:27:35,0 days 00:03:31.000000000,0,0,3.5166666666666666,18.31
68,20,20,2018-08-01 19:16:48,2018-08-01 19:10:09,0 days 00:06:39.000000000,0,1,6.65,19.16
69,8,8,2018-08-01 19:14:00,2018-08-01 19:10:09,0 days 00:03:51.000000000,0,0,3.85,19.14
70,20,9,2018-08-01 19:33:22,2018-08-01 19:25:39,0 days 00:07:43.000000000,0,1,7.716666666666667,19.33
