,linea,linea_real,salida,llegada_central,espera,outlayers,espera_mas_50,espera minutos,hora salida
0,20,20,2018-08-23 07:40:00,2018-08-23 07:45:55,0 days 00:05:55.000000000,0,0,5.916666666666667,7.4
1,20,20,2018-08-23 08:10:04,2018-08-23 08:16:23,0 days 00:06:19.000000000,0,1,6.316666666666666,8.1
2,20,20,2018-08-23 08:36:32,2018-08-23 08:45:31,0 days 00:08:59.000000000,0,1,8.983333333333333,8.36
3,20,20,2018-08-23 09:11:08,2018-08-23 09:17:10,0 days 00:06:02.000000000,0,1,6.033333333333333,9.11
6,20,20,2018-08-23 10:12:23,2018-08-23 10:18:58,0 days 00:06:35.000000000,0,1,6.583333333333333,10.12
7,20,9,2018-08-23 10:29:08,2018-08-23 10:32:12,0 days 00:03:04.000000000,0,0,3.066666666666667,10.29
10,20,20,2018-08-23 11:09:22,2018-08-23 11:18:51,0 days 00:09:29.000000000,0,1,9.483333333333333,11.09
11,20,9,2018-08-23 11:28:58,2018-08-23 11:31:22,0 days 00:02:24.000000000,0,0,2.4,11.28
12,20,20,2018-08-23 11:44:38,2018-08-23 11:47:38,0 days 00:03:00.000000000,0,0,3.0,11.44
14,20,20,2018-08-23 12:11:17,2018-08-23 12:17:16,0 days 00:05:59.000000000,0,0,5.983333333333333,12.11
17,20,20,2018-08-23 13:11:21,2018-08-23 13:17:00,0 days 00:05:39.000000000,0,0,5.65,13.11
18,20,20,2018-08-23 13:42:35,2018-08-23 13:45:43,0 days 00:03:08.000000000,0,0,3.1333333333333333,13.42
19,20,20,2018-08-23 14:11:21,2018-08-23 14:16:59,0 days 00:05:38.000000000,0,0,5.633333333333334,14.11
20,20,20,2018-08-23 14:42:54,2018-08-23 14:47:16,0 days 00:04:22.000000000,0,0,4.366666666666666,14.42
21,20,20,2018-08-23 15:08:58,2018-08-23 15:15:59,0 days 00:07:01.000000000,0,1,7.016666666666667,15.08
